# newdoc id = f-QTSTCCSV
# metadata:url = https://foodista.com/recipe/QTSTCCSV/pancetta-and-asparagus-pasta
# metadata:num_steps = 5
# metadata:avg_len_steps = 23
# metadata:num_ingres = 5
# metadata:cluster = old
# newpar id = f-QTSTCCSV::ingredients
# sent_id = f-QTSTCCSV::ingredients::sent01
# text = 250 g uncooked pasta of your choice
1	250	250	NUM	CD	NumType=card	2	nummod	_	_	_	_	_	_	_
2	g	gram	NOUN	NNS	Number=plur	4	nmod:npmod	_	_	_	_	_	_	_
3	uncooked	uncooked	ADJ	JJ	Degree=pos	4	amod	_	_	_	_	_	_	_
4	pasta	pasta	NOUN	NN	Number=sing	0	root	_	_	_	_	_	_	_
5	of	of	ADP	IN	_	7	case	_	_	_	_	_	_	_
6	your	you	PRON	PRP$	PronType=prs|Poss=yes	7	nmod:poss	_	_	_	_	_	_	_
7	choice	choice	NOUN	NN	Number=sing	4	nmod	_	SpaceAfter=No	_	_	_	_	_

# sent_id = f-QTSTCCSV::ingredients::sent02
# text = 250 g pancetta, cut into small sticks
1	250	250	NUM	CD	NumType=card	2	nummod	_	_	_	_	_	_	_
2	g	gram	NOUN	NNS	Number=plur	3	nmod:npmod	_	_	_	_	_	_	_
3	pancetta	pancetta	NOUN	NN	Number=sing	0	root	_	SpaceAfter=No	_	_	_	_	_
4	,	,	PUNCT	,	PunctType=comm	5	punct	_	_	_	_	_	_	_
5	cut	cut	VERB	VBN	VerbForm=part|Tense=past|Aspect=perf	3	acl	_	_	_	_	_	_	_
6	into	into	ADP	IN	_	8	case	_	_	_	_	_	_	_
7	small	small	ADJ	JJ	Degree=pos	8	amod	_	_	_	_	_	_	_
8	sticks	stick	NOUN	NNS	Number=plur	5	obl	_	SpaceAfter=No	_	_	_	_	_

# sent_id = f-QTSTCCSV::ingredients::sent03
# text = 500 g fresh asparagus ends trimmed and cut into 2-inch pieces
1	500	500	NUM	CD	NumType=card	2	nummod	_	_	_	_	_	_	_
2	g	gram	NOUN	NNS	Number=plur	5	nmod:npmod	_	_	_	_	_	_	_
3	fresh	fresh	ADJ	JJ	Degree=pos	5	amod	_	_	_	_	_	_	_
4	asparagus	asparagus	NOUN	NN	Number=sing	5	compound	_	_	_	_	_	_	_
5	ends	end	NOUN	NNS	Number=plur	0	root	_	_	_	_	_	_	_
6	trimmed	trim	VERB	VBN	VerbForm=part|Tense=past|Aspect=perf	5	acl	_	_	_	_	_	_	_
7	and	and	CCONJ	CC	ConjType=comp	8	cc	_	_	_	_	_	_	_
8	cut	cut	VERB	VBN	VerbForm=part|Tense=past|Aspect=perf	6	conj	_	_	_	_	_	_	_
9	into	into	ADP	IN	_	13	case	_	_	_	_	_	_	_
10	2	2	NUM	CD	NumType=card	12	nummod	_	SpaceAfter=No	_	_	_	_	_
11	-	-	PUNCT	HYPH	PunctType=dash	12	punct	_	SpaceAfter=No	_	_	_	_	_
12	inch	inch	NOUN	NN	Number=sing	13	compound	_	_	_	_	_	_	_
13	pieces	piece	NOUN	NNS	Number=plur	8	obl	_	SpaceAfter=No	_	_	_	_	_

# sent_id = f-QTSTCCSV::ingredients::sent04
# text = 20 ml dry white wine
1	20	20	NUM	CD	NumType=card	2	nummod	_	_	_	_	_	_	_
2	ml	millileter	NOUN	NNS	Number=plur	5	nmod:npmod	_	_	_	_	_	_	_
3	dry	dry	ADJ	JJ	Degree=pos	5	amod	_	_	_	_	_	_	_
4	white	white	ADJ	JJ	Degree=pos	5	amod	_	_	_	_	_	_	_
5	wine	wine	NOUN	NN	Number=sing	0	root	_	SpaceAfter=No	_	_	_	_	_

# sent_id = f-QTSTCCSV::ingredients::sent05
# text = 1/2 cup grated Parmesan cheese
1	1/2	1/2	NUM	CD	NumType=card	2	nummod	_	_	_	_	_	_	_
2	cup	cup	NOUN	NN	Number=sing	5	nmod:npmod	_	_	_	_	_	_	_
3	grated	grate	VERB	VBN	VerbForm=part|Tense=past|Aspect=perf	5	amod	_	_	_	_	_	_	_
4	Parmesan	parmesan	NOUN	NN	Number=sing	5	compound	_	_	_	_	_	_	_
5	cheese	cheese	NOUN	NN	Number=sing	0	root	_	SpaceAfter=No	_	_	_	_	_

# newpar id = f-QTSTCCSV::step01
# sent_id = f-QTSTCCSV::step01::sent01
# text = Saute pancetta in a large pan over medium-high heat, stirring occasionally, until crispy.
1	Saute	saute	VERB	VB	VerbForm=inf	0	root	_	_	B-EVENT	_	_	_	_
2	pancetta	pancetta	NOUN	NN	Number=sing	1	obj	_	_	B-INGREDIENT	_	_	_	_
3	in	in	ADP	IN	_	6	case	_	_	O	_	_	_	_
4	a	a	DET	DT	_	6	det	_	_	O	_	_	_	_
5	large	large	ADJ	JJ	Degree=pos	6	amod	_	_	B-PROP	_	_	_	_
6	pan	pan	NOUN	NN	Number=sing	1	obl	_	_	I-PROP	_	_	_	_
7	over	over	ADP	IN	_	11	case	_	_	O	_	_	_	_
8	medium	medium	NOUN	NN	Number=sing	10	compound	_	_	O	_	_	_	_
9	-	-	PUNCT	HYPH	PunctType=dash	10	punct	_	_	O	_	_	_	_
10	high	high	ADJ	JJ	Degree=pos	11	amod	_	_	O	_	_	_	_
11	heat	heat	NOUN	NN	Number=sing	1	obl	_	_	O	_	_	_	_
12	,	,	PUNCT	,	PunctType=comm	13	punct	_	_	O	_	_	_	_
13	stirring	stir	VERB	VBG	VerbForm=part|Tense=pres|Aspect=prog	1	advcl	_	_	B-EVENT	_	_	_	_
14	occasionally	occasionally	ADV	RB	Degree=pos	13	advmod	_	_	O	_	_	_	_
15	,	,	PUNCT	,	PunctType=comm	17	punct	_	_	O	_	_	_	_
16	until	until	ADP	IN	_	17	case	_	_	O	_	_	_	_
17	crispy	crispy	ADJ	JJ	Degree=pos	13	obl	_	_	O	_	_	_	_
18	.	.	PUNCT	.	PunctType=peri	1	punct	_	SpaceAfter=No	O	_	_	_	_

# sent_id = f-QTSTCCSV::step01::sent02
# text = Remove pancetta with a slotted spoon and set aside.
1	Remove	remove	VERB	VB	VerbForm=inf	0	root	_	_	B-EVENT	_	_	_	_
2	pancetta	pancetta	NOUN	NN	Number=sing	1	obj	_	_	B-INGREDIENT	_	_	_	_
3	with	with	ADP	IN	_	6	case	_	_	O	_	_	_	_
4	a	a	DET	DT	_	6	det	_	_	O	_	_	_	_
5	slotted	slot	VERB	VBN	VerbForm=part|Tense=past|Aspect=perf	6	amod	_	_	B-PROP	_	_	_	_
6	spoon	spoon	NOUN	NN	Number=sing	1	obl	_	_	I-PROP	_	_	_	_
7	and	and	CCONJ	CC	ConjType=comp	8	cc	_	_	O	_	_	_	_
8	set	set	VERB	VB	VerbForm=inf	1	conj	_	_	B-EVENT	_	_	_	_
9	aside	aside	ADP	RP	_	8	compound:prt	_	_	O	_	_	_	_
10	.	.	PUNCT	.	PunctType=peri	1	punct	_	SpaceAfter=No	O	_	_	_	_

# newpar id = f-QTSTCCSV::step02
# sent_id = f-QTSTCCSV::step02::sent01
# text = Add asparagus to the pan and saute in the pancetta grease for about 5-6 minutes, stirring occasionally, until almost cooked.
1	Add	add	VERB	VB	VerbForm=inf	0	root	_	_	B-EVENT	_	_	_	_
2	asparagus	asparagus	NOUN	NN	Number=sing	1	obj	_	_	B-INGREDIENT	_	_	_	_
3	to	to	ADP	IN	_	5	case	_	_	O	_	_	_	_
4	the	the	DET	DT	_	5	det	_	_	O	_	_	_	_
5	pan	pan	NOUN	NN	Number=sing	1	obl	_	_	B-PROP	_	_	_	_
6	and	and	CCONJ	CC	ConjType=comp	7	cc	_	_	O	_	_	_	_
7	saute	saute	VERB	VB	VerbForm=inf	1	conj	_	_	B-EVENT	_	_	_	_
8	in	in	ADP	IN	_	11	case	_	_	O	_	_	_	_
9	the	the	DET	DT	_	11	det	_	_	O	_	_	_	_
10	pancetta	pancetta	NOUN	NN	Number=sing	11	compound	_	_	B-INGREDIENT	_	_	_	_
11	grease	grease	NOUN	NN	Number=sing	7	obl	_	_	I-INGREDIENT	_	_	_	_
12	for	for	ADP	IN	_	17	case	_	_	O	_	_	_	_
13	about	about	ADV	RB	Degree=pos	14	advmod	_	_	O	_	_	_	_
14	5	5	NUM	CD	NumType=card	17	nummod	_	_	O	_	_	_	_
15	-	-	SYM	SYM	_	16	case	_	_	O	_	_	_	_
16	6	6	NUM	CD	NumType=card	14	nmod	_	_	O	_	_	_	_
17	minutes	minute	NOUN	NNS	Number=plur	7	obl	_	_	O	_	_	_	_
18	,	,	PUNCT	,	PunctType=comm	19	punct	_	_	O	_	_	_	_
19	stirring	stir	VERB	VBG	VerbForm=part|Tense=pres|Aspect=prog	7	advcl	_	_	B-EVENT	_	_	_	_
20	occasionally	occasionally	ADV	RB	Degree=pos	19	advmod	_	_	O	_	_	_	_
21	,	,	PUNCT	,	PunctType=comm	24	punct	_	_	O	_	_	_	_
22	until	until	SCONJ	IN	_	24	mark	_	_	O	_	_	_	_
23	almost	almost	ADV	RB	Degree=pos	24	advmod	_	_	O	_	_	_	_
24	cooked	cook	VERB	VBN	VerbForm=part|Tense=past|Aspect=perf	19	advcl	_	_	B-EVENT	_	_	_	_
25	.	.	PUNCT	.	PunctType=peri	1	punct	_	SpaceAfter=No	O	_	_	_	_

# newpar id = f-QTSTCCSV::step03
# sent_id = f-QTSTCCSV::step03::sent01
# text = Slowly add the white wine to deglaze the pan.
1	Slowly	slowly	ADV	RB	Degree=pos	2	advmod	_	_	O	_	_	_	_
2	add	add	VERB	VB	VerbForm=inf	0	root	_	_	B-EVENT	_	_	_	_
3	the	the	DET	DT	_	5	det	_	_	O	_	_	_	_
4	white	white	ADJ	JJ	Degree=pos	5	amod	_	_	B-INGREDIENT	_	_	_	_
5	wine	wine	NOUN	NN	Number=sing	2	obj	_	_	I-INGREDIENT	_	_	_	_
6	to	to	PART	TO	PartType=inf|VerbForm=inf	7	mark	_	_	O	_	_	_	_
7	deglaze	deglaze	VERB	VB	VerbForm=inf	2	advcl	_	_	B-EVENT	_	_	_	_
8	the	the	DET	DT	_	9	det	_	_	O	_	_	_	_
9	pan	pan	NOUN	NN	Number=sing	7	obj	_	_	B-PROP	_	_	_	_
10	.	.	PUNCT	.	PunctType=peri	2	punct	_	SpaceAfter=No	O	_	_	_	_

# sent_id = f-QTSTCCSV::step03::sent02
# text = Continue cooking for 5 minutes or until the wine has reduced by about half.
1	Continue	continue	VERB	VB	VerbForm=inf	0	root	_	_	O	_	_	_	_
2	cooking	cook	VERB	VBG	VerbForm=part|Tense=pres|Aspect=prog	1	xcomp	_	_	B-EVENT	_	_	_	_
3	for	for	ADP	IN	_	5	case	_	_	O	_	_	_	_
4	5	5	NUM	CD	NumType=card	5	nummod	_	_	O	_	_	_	_
5	minutes	minute	NOUN	NNS	Number=plur	2	obl	_	_	O	_	_	_	_
6	or	or	CCONJ	CC	ConjType=comp	11	cc	_	_	O	_	_	_	_
7	until	until	SCONJ	IN	_	11	mark	_	_	O	_	_	_	_
8	the	the	DET	DT	_	9	det	_	_	O	_	_	_	_
9	wine	wine	NOUN	NN	Number=sing	11	nsubj	_	_	B-INGREDIENT	_	_	_	_
10	has	have	AUX	VBZ	VerbForm=fin|Tense=pres|Number=sing|Person=three	11	aux	_	_	O	_	_	_	_
11	reduced	reduce	VERB	VBN	VerbForm=part|Tense=past|Aspect=perf	2	advcl	_	_	B-EVENT	_	_	_	_
12	by	by	ADP	IN	_	14	case	_	_	O	_	_	_	_
13	about	about	ADV	RB	Degree=pos	14	advmod	_	_	O	_	_	_	_
14	half	half	NOUN	NN	Number=sing	11	obl	_	_	O	_	_	_	_
15	.	.	PUNCT	.	PunctType=peri	1	punct	_	SpaceAfter=No	O	_	_	_	_

# newpar id = f-QTSTCCSV::step04
# sent_id = f-QTSTCCSV::step04::sent01
# text = Cook the pasta in a large pot according to package instructions.
1	Cook	cook	VERB	VB	VerbForm=inf	0	root	_	_	B-EVENT	_	_	_	_
2	the	the	DET	DT	_	3	det	_	_	O	_	_	_	_
